Año,Provincia,Partido,Votos
2026,ALAJUELA,COALICIÓN AGENDA CIUDADANA,17227
2026,ALAJUELA,FRENTE AMPLIO,16391
2026,ALAJUELA,UNIDAD SOCIAL CRISTIANA,12549
2026,ALAJUELA,NUEVA REPÚBLICA,10024
2026,ALAJUELA,AVANZA,8367
2026,CARTAGO,PUEBLO SOBERANO,117902
2026,CARTAGO,LIBERACIÓN NACIONAL,126975
2026,CARTAGO,COALICIÓN AGENDA CIUDADANA,22030
2026,CARTAGO,FRENTE AMPLIO,12344
2026,CARTAGO,UNIDAD SOCIAL CRISTIANA,9596
2026,CARTAGO,NUEVA REPÚBLICA,4944
2026,CARTAGO,AVANZA,5965
2026,HEREDIA,PUEBLO SOBERANO,116434
2026,HEREDIA,LIBERACIÓN NACIONAL,105629
2026,HEREDIA,COALICIÓN AGENDA CIUDADANA,16943
2026,HEREDIA,FRENTE AMPLIO,12579
2026,HEREDIA,UNIDAD SOCIAL CRISTIANA,7319
2026,HEREDIA,NUEVA REPÚBLICA,4887
2026,HEREDIA,AVANZA,5427
2026,GUANACASTE,PUEBLO SOBERANO,96742
2026,GUANACASTE,LIBERACIÓN NACIONAL,45718
2026,GUANACASTE,COALICIÓN AGENDA CIUDADANA,5198
2026,GUANACASTE,FRENTE AMPLIO,4159
2026,GUANACASTE,UNIDAD SOCIAL CRISTIANA,3825
2026,GUANACASTE,NUEVA REPÚBLICA,4293
2026,GUANACASTE,AVANZA,3570
2026,PUNTARENAS,PUEBLO SOBERANO,126305
2026,PUNTARENAS,LIBERACIÓN NACIONAL,43158
2026,PUNTARENAS,COALICIÓN AGENDA CIUDADANA,4424
2026,PUNTARENAS,FRENTE AMPLIO,5234
2026,PUNTARENAS,UNIDAD SOCIAL CRISTIANA,5151
2026,PUNTARENAS,NUEVA REPÚBLICA,5959
2026,PUNTARENAS,AVANZA,2235
2026,LIMÓN,PUEBLO SOBERANO,112797
2026,LIMÓN,LIBERACIÓN NACIONAL,31856
2026,LIMÓN,COALICIÓN AGENDA CIUDADANA,4010
2026,LIMÓN,FRENTE AMPLIO,4625
2026,LIMÓN,UNIDAD SOCIAL CRISTIANA,4997
2026,LIMÓN,NUEVA REPÚBLICA,6499
2026,LIMÓN,AVANZA,1930
